,tceid,ticid,sector,orbitalPeriodDays,orbitalPeriodDays_err,transitDepthPpm,transitDepthPpm_err,transitDurationHours,minImpactParameter,starTeffKelvin,starLoggCgs
6151,00177175199-01,177175199,13.0,0.520391,2.608e-05,1390.9,48.5671,1.50036,0.545683,5526.0,4.438
6152,00177258700-01,177258700,13.0,0.344052,5.40454e-06,12988.3,463.101,0.717871,0.963652,7138.49,4.07912
6153,00177258700-02,177258700,13.0,0.344018,-1.0,0.0,0.0,0.5,0.1,7138.49,4.07912
6154,00177309964-01,177309964,13.0,0.45338,1.32564e-05,9003.56,580.985,0.558506,0.478149,3289.0,4.438
6155,00177309964-02,177309964,13.0,0.453336,4.45326e-05,47241.3,905.716,3.42034,0.988299,3289.0,4.438
6156,00177312861-01,177312861,13.0,0.7523,8.4317e-05,4995.54,348.11,1.41457,0.981729,5481.0,4.4033
6157,00177387690-01,177387690,13.0,0.211087,1.28404e-05,1102.19,133.858,0.559229,0.3,7412.2,4.12125
6158,00179304342-01,179304342,13.0,1.13676,0.000400785,218218.0,16504.6,4.21672,0.346469,5780.0,4.438
6159,00179305059-01,179305059,13.0,1.2395,0.000322793,5464.15,676.241,3.05586,0.159924,5780.0,4.438
6160,00179305059-02,179305059,13.0,1.23898,0.000355717,5692.99,604.371,3.78243,0.106452,5780.0,4.438
6161,00179308923-01,179308923,13.0,0.94213,0.000233128,10637.2,512.182,6.58713,0.989707,9578.0,4.07554
6162,00179380521-01,179380521,13.0,1.77257,0.000687639,2493.75,245.26,4.67724,0.576182,6506.89,4.01
6163,00179637067-01,179637067,13.0,0.218468,1.72075e-05,271.91,39.0092,0.51394,0.012091,7687.0,4.06768
6164,00179637387-01,179637387,13.0,0.898406,0.000437789,5444.91,497.498,6.38293,0.990105,8768.0,4.10303
6165,00180417376-01,180417376,13.0,0.667217,0.000154463,586.611,71.1601,2.49759,0.131632,5883.0,4.11
6166,00181341926-01,181341926,13.0,1.00526,-1.0,486582.0,0.0,2.0,0.1,5945.0,4.31459
6167,00181656815-01,181656815,13.0,0.364457,7.95651e-05,11767.3,1565.71,1.82205,0.930441,2808.0,5.20628
6168,00181656815-02,181656815,13.0,0.364521,6.87896e-05,12772.0,1088.59,1.88374,0.988999,2808.0,5.20628
6169,00182894226-01,182894226,13.0,0.204349,1.38019e-06,37796.6,616.953,0.699343,0.901074,5366.0,4.42702
6170,00182894226-02,182894226,13.0,0.204335,2.6574e-06,22745.7,711.662,0.287865,0.820142,5366.0,4.42702
6171,00183077258-01,183077258,13.0,0.434463,2.67277e-05,406.366,25.6067,1.64254,0.461659,4608.5,1.89
6172,00183078154-01,183078154,13.0,0.352978,2.68571e-05,69.469,6.7652,1.05499,0.902349,10940.0,4.438
6173,00183494861-01,183494861,13.0,0.310043,1.64469e-05,348.933,47.0944,0.752771,0.86769,7136.0,4.15827
6174,00193831684-01,193831684,13.0,1.29363,0.00013688,101939.0,5865.66,2.36671,0.917641,2936.0,4.438
6175,00194025647-01,194025647,13.0,0.253582,8.85412e-05,1734.58,1922.74,0.538703,0.700762,7704.0,4.11863
6176,00194342588-01,194342588,13.0,0.477903,0.000158614,26951.8,2986.77,2.46857,0.695636,3328.0,4.438
6177,00194872493-01,194872493,13.0,0.47697,9.36847e-05,46120.0,3829.05,2.73325,0.759827,3436.0,4.89672
6178,00196795299-01,196795299,13.0,0.403565,2.06775e-05,345.776,25.9179,0.997093,0.31171,3396.0,4.438
6179,00201601338-01,201601338,13.0,0.450784,3.33649e-05,725.993,62.2314,1.31282,0.499197,5460.0,4.40762
6180,00201604954-02,201604954,13.0,0.631419,0.000105908,8639.34,546.101,3.49917,0.990005,5670.0,4.3925
6181,00201747686-01,201747686,13.0,1.3455,9.68088e-06,20423.7,72.3094,2.13303,0.986788,6233.0,4.26412
6182,00201747686-02,201747686,13.0,1.34539,3.74022e-05,4893.49,70.3447,2.01366,0.988393,6233.0,4.26412
6183,00211116547-01,211116547,13.0,0.63846,-1.0,329099.0,0.0,1.5,0.1,3771.0,4.74904
6184,00211170874-01,211170874,13.0,1.80423,2.99952e-05,103585.0,844.782,1.98383,0.00999983,3847.0,4.72191
6185,00211170874-02,211170874,13.0,1.80423,0.0001318,15697.0,610.455,1.83366,0.0216629,3847.0,4.72191
6186,00211215485-01,211215485,13.0,0.850518,-1.0,300388.0,0.0,2.0,0.1,7734.0,4.438
6187,00211215485-02,211215485,13.0,0.850635,-1.0,696.937,-1.0,1.0,0.1,7734.0,4.438
6188,00219373406-01,219373406,13.0,0.861856,-1.0,667294.0,0.0,1.5,0.1,7928.0,4.438
6189,00219373406-03,219373406,13.0,0.862039,4.96393e-05,22959.7,1205.5,1.86443,0.990105,7928.0,4.438
6190,00220474209-01,220474209,13.0,0.980174,3.45257e-06,71393.1,108.175,2.08836,0.990072,5843.0,4.33325
6191,00220474209-02,220474209,13.0,0.980143,8.84469e-06,22595.5,89.4966,2.12993,0.989474,5843.0,4.33325
6192,00220478846-01,220478846,13.0,0.31893,3.61657e-05,1675.11,186.218,1.10232,0.678279,3665.0,4.438
6193,00220478846-02,220478846,13.0,0.319066,2.89291e-05,1942.17,201.791,0.917505,0.501603,3665.0,4.438
6194,00229810745-01,229810745,13.0,0.497512,-1.0,279654.0,0.0,1.0,0.1,4761.0,4.52574
6195,00229810745-02,229810745,13.0,0.497522,4.75717e-06,52281.2,498.985,1.63696,0.731346,4761.0,4.52574
6196,00230954651-01,230954651,13.0,0.83946,0.000190926,42736.2,3240.87,3.0414,0.952982,3776.0,4.438
6197,00230966786-01,230966786,13.0,0.520912,3.29337e-05,4070.33,136.945,2.61476,0.990105,6095.0,4.28771
6198,00231093356-01,231093356,13.0,1.73565,-1.0,389139.0,0.0,2.0,0.1,6004.96,4.19634
6199,00231093356-02,231093356,13.0,1.7376,2.81767,0.809468,1178.24,2.00918,0.779559,6004.96,4.19634
6200,00231093356-03,231093356,13.0,1.7365,0.00148809,357.94,317.548,0.722987,0.743867,6004.96,4.19634
6201,00231093356-04,231093356,13.0,1.73592,0.000723787,64107.7,34516.4,10.6671,0.985079,6004.96,4.19634
6202,00025078924-01,25078924,13.0,0.904325,6.9238e-06,67391.3,382.962,2.03527,0.75937,5614.0,4.37659
6203,00025078924-02,25078924,13.0,0.452194,1.8244e-05,11195.9,339.452,2.00618,0.926269,5614.0,4.37659
6204,00025078924-03,25078924,13.0,0.90352,0.000129071,2372.18,387.878,1.31502,0.989004,5614.0,4.37659
6205,00025078924-04,25078924,13.0,0.301132,4.3692e-05,11924.5,1750.62,3.61358,0.9901,5614.0,4.37659
6206,00253576973-01,253576973,13.0,0.424661,3.26513e-05,1051.19,94.0637,1.41192,0.1,5692.0,4.36153
6207,00253636819-01,253636819,13.0,0.960052,9.40383e-05,13078.4,425.076,3.53444,0.990102,5707.0,4.35867
6208,00253636819-02,253636819,13.0,0.959823,0.000205686,5313.34,305.512,3.83005,0.990105,5707.0,4.35867
6209,00253657883-01,253657883,13.0,0.790804,1.17035e-05,65837.4,811.078,1.36587,0.901095,4293.0,4.57539
6210,00253657883-02,253657883,13.0,0.790789,3.04702e-05,21164.5,677.025,1.34124,0.919876,4293.0,4.57539
6211,00253708643-01,253708643,13.0,0.589381,6.28834e-06,33559.0,550.747,0.981157,0.990105,5971.0,4.438
6212,00253709112-01,253709112,13.0,1.13185,9.8203e-05,5970.7,337.753,1.82298,0.95212,5706.0,4.35886
6213,00253715855-01,253715855,13.0,1.13177,8.21563e-06,39414.6,162.603,2.02639,0.952847,6064.0,4.03229
6214,00253715855-02,253715855,13.0,1.13184,4.49406e-05,7004.11,154.626,1.97331,0.990105,6064.0,4.03229
6215,00253715855-03,253715855,13.0,0.283165,1.79959e-05,837.331,82.4598,1.07548,0.466086,6064.0,4.03229
6216,00253749178-01,253749178,13.0,1.83761,7.92954e-06,100351.0,168.021,3.89953,0.689969,5958.0,4.31223
6217,00253749178-02,253749178,13.0,1.83763,3.49517e-05,21975.6,140.53,3.79277,0.835674,5958.0,4.31223
6218,00253800419-01,253800419,13.0,0.505815,7.21535e-05,3077.22,147.156,2.75043,0.990105,6228.0,4.1426
6219,00253818827-01,253818827,13.0,0.477703,8.68928e-05,631.635,79.7784,1.39125,0.767518,6209.0,4.26812
6220,00253844234-01,253844234,13.0,1.18352,1.37199e-05,51577.7,378.789,1.72087,0.572399,5119.0,4.47496
6221,00253844234-02,253844234,13.0,1.18348,7.60291e-05,6894.52,297.727,1.62602,0.739962,5119.0,4.47496
6222,00253844235-01,253844235,13.0,1.18351,0.000161569,650.678,64.1457,1.26893,0.626052,6218.0,4.27354
6223,00253850800-01,253850800,13.0,0.433854,3.35584e-05,3193.57,227.936,1.47559,0.9607,6101.0,4.28828
6224,00253990973-01,253990973,13.0,0.540933,0.00010688,257.347,27.6412,1.67434,0.895977,5525.0,4.25342
6225,00254021747-01,254021747,13.0,0.534541,7.18197e-05,319.721,45.2803,0.972716,0.502709,5910.0,4.32071
6226,00254039358-01,254039358,13.0,0.747755,1.56952e-05,3776.38,39.2848,1.60141,0.989174,6267.0,4.16468
6227,00254131256-01,254131256,13.0,0.284891,1.77772e-05,250.516,32.6601,0.987355,0.101142,6775.0,3.87885
6228,00254278612-01,254278612,13.0,1.29335,0.000210207,151.086,28.8167,4.63755,0.471822,9355.0,4.02074
6229,00255717096-01,255717096,13.0,0.324739,1.63622e-05,481.718,41.9944,0.907374,0.34886,7069.0,4.16292
6230,00255717096-02,255717096,13.0,0.324789,1.68337e-05,793.698,74.6062,0.555858,0.903824,7069.0,4.16292
6231,00255717096-03,255717096,13.0,0.324742,3.32854e-05,7758.19,632.092,3.8969,0.990105,7069.0,4.16292
6232,00255989698-01,255989698,13.0,0.408588,2.45284e-05,759.483,35.8204,1.52554,0.990105,4715.0,2.08253
6233,00255989698-02,255989698,13.0,0.40867,1.84882e-05,375.47,20.5762,1.01419,0.5,4715.0,2.08253
6234,00256215734-01,256215734,13.0,0.346099,3.92025e-05,224.879,22.9397,1.47773,0.678877,6105.0,4.47303
6235,00258579050-01,258579050,13.0,0.446917,0.000123369,177192.0,22759.0,2.78163,0.740512,3325.0,4.438
6236,00259791932-01,259791932,13.0,0.776236,0.000235196,5763.47,825.005,2.7495,0.933432,6335.0,4.24768
6237,00260162199-01,260162199,13.0,0.268276,4.64542e-06,110546.0,3245.95,1.34972,0.95304,4609.0,4.54226
6238,00260304277-01,260304277,13.0,0.512717,4.80779e-05,150.514,15.1047,1.00801,0.0407356,8910.0,4.21249
6239,00260304296-01,260304296,13.0,0.512601,8.92472e-06,5627.63,50.2672,1.6867,0.989919,6725.0,4.19532
6240,00260352096-01,260352096,13.0,0.780766,4.03872e-05,77384.1,2547.74,1.83725,0.890669,3896.0,4.438
6241,00260541250-01,260541250,13.0,0.335927,2.6009e-06,195328.0,2444.21,1.97937,0.179726,5924.92,4.07425
6242,00260708271-01,260708271,13.0,0.359049,1.13521e-05,24071.6,1105.84,1.61003,0.990105,6031.18,4.19207
6243,00260984293-01,260984293,13.0,0.255537,1.22167e-05,421.166,48.7687,0.349478,0.769454,6441.5,4.13
6244,00260984293-02,260984293,13.0,0.255521,1.3249e-05,390.687,45.3495,0.371628,0.790718,6441.5,4.13
6245,00261089147-01,261089147,13.0,0.461713,3.57451e-06,17674.2,576.654,1.23968,0.753737,7884.0,4.16757
6246,00261089147-02,261089147,13.0,0.461648,-1.0,406.572,-1.0,1.5,0.1,7884.0,4.16757
6247,00261105201-02,261105201,13.0,0.477934,1.07563e-05,1231.74,113.102,0.509784,0.0980022,6342.0,3.47913
6248,00261138857-01,261138857,13.0,0.920747,2.24308e-05,65061.1,482.747,5.48927,0.816612,6586.0,4.21182
6249,00261259291-01,261259291,13.0,0.46206,1.47662e-05,1054.12,126.843,1.04976,0.048211,6192.0,3.92594
6250,00261259291-02,261259291,13.0,0.462031,2.18243e-05,806.289,138.864,1.05174,0.699579,6192.0,3.92594
6251,00261262721-01,261262721,13.0,0.23433,6.43677e-06,2026.47,95.8652,0.683859,0.987937,6281.0,4.33869
6252,00261262721-02,261262721,13.0,0.23435,6.56216e-06,1761.93,126.484,0.75041,0.962121,6281.0,4.33869
6253,00261376909-01,261376909,13.0,0.254387,1.01447e-05,40105.9,3894.07,0.580761,0.947726,5780.0,4.438
6254,00261376909-02,261376909,13.0,0.254382,8.05326e-06,40361.5,3203.11,0.571942,0.900631,5780.0,4.438
6255,00261376909-03,261376909,13.0,0.377805,3.41391e-05,27571.0,4318.41,0.682717,0.756844,5780.0,4.438
6256,00261376909-04,261376909,13.0,0.896915,5.66973e-05,41714.2,6155.3,0.496081,0.00999983,5780.0,4.438
6257,00261376909-05,261376909,13.0,1.50941,0.000149396,60143.6,9963.95,0.537516,0.808436,5780.0,4.438
6258,00261680602-01,261680602,13.0,0.314695,1.74653e-05,411.787,38.0962,0.948506,0.30852,5903.9,4.64
6259,00261680602-02,261680602,13.0,0.314809,2.11333e-05,341.46,40.1337,0.930357,0.100993,5903.9,4.64
6260,00261746657-01,261746657,13.0,1.31674,-1.0,296726.0,0.0,2.0,0.1,6238.0,4.15539
6261,00261746657-02,261746657,13.0,0.658617,-1.0,2353.17,-1.0,2.5,0.1,6238.0,4.15539
6262,00261746657-03,261746657,13.0,1.31731,1.68537e-05,67073.4,1026.04,2.40034,0.990105,6238.0,4.15539
6263,00262195182-01,262195182,13.0,0.742157,8.05875e-05,430.285,48.6142,2.00645,0.294107,4341.0,4.438
6264,00262195182-02,262195182,13.0,0.742386,8.58933e-05,413.054,46.8258,2.09146,0.343554,4341.0,4.438
6265,00262195182-03,262195182,13.0,0.742404,6.85007e-05,535.487,39.9077,2.52672,0.0396018,4341.0,4.438
6266,00262498404-01,262498404,13.0,0.337883,0.000100756,204.883,19.1554,2.32281,0.919741,8367.0,4.35886
6267,00262522845-01,262522845,13.0,0.298135,-1.0,286218.0,-1.0,1.0,0.1,3488.0,4.87097
6268,00262705788-01,262705788,13.0,0.329712,2.66187e-05,590.396,60.3843,1.45973,0.0135106,5942.0,4.50047
6269,00262705788-02,262705788,13.0,0.32981,2.83403e-05,510.324,58.5856,1.02108,0.301522,5942.0,4.50047
6270,00263925187-01,263925187,13.0,0.333108,3.02384e-06,186031.0,1718.55,1.2848,0.608534,3677.0,4.7851
6271,00263925187-02,263925187,13.0,0.333102,7.00202e-05,24193.9,3496.32,3.99722,0.974807,3677.0,4.7851
6272,00270367481-01,270367481,13.0,0.382083,4.20506e-05,1240.71,141.618,0.795425,0.929593,6578.0,4.1
6273,00270507305-01,270507305,13.0,1.22829,5.61116e-05,7783.31,149.144,1.92327,0.988179,5848.0,4.33233
6274,00271594955-01,271594955,13.0,0.411996,1.95897e-05,86763.5,3860.51,2.5459,0.963178,6096.0,4.28754
6275,00271594955-02,271594955,13.0,0.411966,1.08234e-05,11793.3,1047.46,0.548558,0.280832,6096.0,4.28754
6276,00271596290-01,271596290,13.0,1.28249,7.57399e-06,100944.0,141.706,5.98532,0.791453,6311.35,4.33549
6277,00271999940-01,271999940,13.0,0.56426,1.48935e-05,107625.0,1948.5,2.90017,0.981232,6430.32,4.3205
6278,00271999940-02,271999940,13.0,0.56422,3.20197e-05,7510.56,685.041,0.891389,0.939519,6430.32,4.3205
6279,00272544689-01,272544689,13.0,0.436095,3.50114e-05,305.087,31.6733,1.40623,0.260834,4776.0,4.438
6280,00272774076-01,272774076,13.0,0.497699,0.00011237,10056.1,1678.6,1.19899,0.857351,3577.0,4.82769
6281,00273322167-01,273322167,13.0,0.365471,1.78935e-05,1523.74,215.96,1.04711,0.00999983,8398.0,4.08776
6282,00273322167-02,273322167,13.0,0.365411,3.71854e-05,3490.88,300.743,1.62392,0.990105,8398.0,4.08776
6283,00273322167-03,273322167,13.0,0.365437,1.15751e-05,2335.37,172.859,0.735984,0.3,8398.0,4.08776
6284,00273698280-01,273698280,13.0,0.224337,2.24432e-05,129.293,26.3327,0.505254,0.697009,7799.0,4.07051
6285,00274034106-01,274034106,13.0,0.542146,9.56471e-05,139.7,18.4562,2.10063,0.193827,7009.0,4.15272
6286,00274057734-01,274057734,13.0,0.342827,5.23458e-05,4371.57,446.875,1.30004,0.990105,3086.0,4.438
6287,00276315375-02,276315375,13.0,1.0243,5.29804e-05,9360.18,166.2,3.64217,0.830275,7729.0,4.11715
6288,00276836579-01,276836579,13.0,0.381545,4.34838e-05,653.825,41.5963,2.02197,0.990105,4840.0,2.795
6289,00276836579-02,276836579,13.0,0.381608,1.90403e-05,277.816,25.6795,0.970641,0.108732,4840.0,2.795
6290,00277108449-01,277108449,13.0,0.88146,0.000147755,464.112,38.0939,3.29502,0.0150954,7135.0,4.15767
6291,00277300045-01,277300045,13.0,0.688654,0.000336243,497.576,55.8653,4.96827,0.973501,7328.0,4.14336
6292,00027734884-01,27734884,13.0,0.336599,4.64651e-05,77613.6,5528.21,2.37337,0.564715,3258.0,4.9866
6293,00277373390-01,277373390,13.0,0.584013,-1.0,313025.0,0.0,1.5,0.1,6345.0,4.24612
6294,00277375039-01,277375039,13.0,0.629616,0.000127233,227.618,30.2829,1.76026,0.756799,6123.0,4.28282
6295,00277912443-01,277912443,13.0,0.537938,1.91866e-05,2241.61,93.9315,1.16211,0.93611,5964.6,3.94
6296,00277912443-02,277912443,13.0,0.538095,3.50087e-05,651.953,92.6951,0.397399,0.870767,5964.6,3.94
6297,00027882631-01,27882631,13.0,0.452537,4.42285e-05,30659.3,1475.67,1.71512,0.990105,3562.0,4.83637
6298,00027882631-02,27882631,13.0,1.90901,0.000426435,49389.3,3820.13,2.67585,0.970488,3562.0,4.83637
6299,00278861826-01,278861826,13.0,0.533802,3.03446e-06,30394.0,80.8461,2.26048,0.988863,6128.0,3.93714
6300,00278863150-01,278863150,13.0,0.521658,4.78099e-05,44029.7,2884.09,1.10468,0.287386,5093.0,4.438
6301,00278863150-02,278863150,13.0,0.521801,0.000110789,18439.6,2132.96,1.49653,0.143935,5093.0,4.438
6302,00279089927-01,279089927,13.0,0.953347,8.14068e-05,6785.4,519.988,1.47562,0.990105,6378.58,4.1882
6303,00279089927-02,279089927,13.0,0.954067,5.79122e-05,5787.95,530.234,0.850949,0.500798,6378.58,4.1882
6304,00279089927-03,279089927,13.0,0.952981,0.000175149,134246.0,5458.1,8.58947,0.938069,6378.58,4.1882
6305,00279156705-01,279156705,13.0,0.361493,6.33731e-06,10365.8,372.222,0.793358,0.990105,6943.87,4.35918
6306,00279156705-02,279156705,13.0,0.361615,8.00278e-06,26241.7,1517.01,1.24559,0.990105,6943.87,4.35918
6307,00279251651-01,279251651,13.0,0.403843,3.15385e-05,636.634,48.5096,1.05922,0.4807,3811.0,4.7316
6308,00279615956-01,279615956,13.0,0.571268,7.63412e-05,1173.68,65.1751,2.42482,0.990086,5812.38,4.17942
6309,00279955276-01,279955276,13.0,0.576834,5.42538e-06,59327.4,517.007,1.86975,0.91435,6123.0,4.26799
6310,00279955276-02,279955276,13.0,0.288434,7.27599e-06,17231.5,432.096,1.82365,0.889572,6123.0,4.26799
6311,00279955276-03,279955276,13.0,0.288448,1.78668e-05,6636.67,732.112,3.32199,0.534551,6123.0,4.26799
6312,00279958827-01,279958827,13.0,1.25339,0.000798283,8754.3,952.316,6.19482,0.928316,5780.0,4.0455
6313,00280909668-01,280909668,13.0,0.969015,2.81276e-05,5804.72,38.8572,4.10703,0.990105,6023.6,3.84
6314,00281979481-01,281979481,13.0,0.541732,5.4961e-05,539.18,66.2851,0.943589,0.234745,5181.0,4.54631
6315,00287326187-01,287326187,13.0,0.863034,3.20567e-05,13682.7,239.324,2.1349,0.852009,4762.0,4.438
6316,00287328866-01,287328866,13.0,1.03844,3.66284e-05,21560.6,307.966,2.42637,0.97258,5846.0,4.33269
6317,00287328866-02,287328866,13.0,0.961606,0.000108846,2832.0,375.01,0.871115,0.118902,5846.0,4.33269
6318,00287428184-01,287428184,13.0,0.329876,2.3901e-05,211.212,32.4677,0.599153,0.900074,9259.0,4.34835
6319,00290289298-01,290289298,13.0,0.207982,2.55812e-05,132.812,30.9715,0.400818,0.526237,7735.0,4.03517
6320,00290410988-01,290410988,13.0,0.428855,-1.0,454470.0,0.0,1.5,0.1,5081.0,4.36531
6321,00290410988-02,290410988,13.0,0.285896,2.0652e-06,290648.0,2281.5,1.6222,0.645555,5081.0,4.36531
6322,00290550630-01,290550630,13.0,0.558624,9.26968e-05,386.593,33.6122,1.9553,0.849721,5863.0,4.49802
6323,00290605311-01,290605311,13.0,0.887418,0.000306953,148.643,22.827,2.65048,0.50474,6451.0,4.40729
6324,00291572619-01,291572619,13.0,1.49819,0.00029936,87238.2,4534.78,2.98058,0.0113874,3175.0,5.03051
