,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,Sectors
41058,00243354593-01,243354593,1,2,3262.0,4.97267,0.363332,7.77954e-06,0.947821,0.906504,0.0333435,2.55445,0.00612805,0.260383,1307.84,143.526,1.1559,1683.52,0.000868305,0.0393772,0.00999983,7.52816,0.15831,747,494.1344,12.13377,3.59169,938.255,183.149,"14,15,16,17,18,19,20,21,22,23"
41059,00243354593-02,243354593,2,2,3262.0,4.97267,0.363243,9.18322e-06,1.01991,0.115688,0.0358794,1.5055,0.00612706,0.260383,1121.26,138.743,1.21637,1683.71,0.00120567,0.206358,0.90045,0.0,0.18131,748,681.9568,11.8821,3.64483,938.331,183.208,"14,15,16,17,18,19,20,21,22,23"
41062,00255996252-01,255996252,1,2,11414.0,4.41377,0.569029,1.87023e-05,2.32952,0.380051,0.0119699,2.12883,0.0194037,1.78268,134.257,18.3758,1.06531,1738.82,0.000854483,0.0627415,0.897043,6.62885,0.40101,330,88.87918,8.11091,2.59662,4827.53,128357.0,"14,15,16,17,18,19,20,21,22,23"
41063,00255996252-02,255996252,2,2,11414.0,4.41377,0.569089,1.31018e-05,2.83235,0.444908,0.0145536,2.76554,0.019405,1.78268,193.663,25.9142,0.702827,1738.9,0.000726802,0.0643339,0.923731,7.06889,0.31664,330,82.33246,7.17614,3.37274,4827.36,128339.0,"14,15,16,17,18,19,20,21,22,23"
41065,00256298427-01,256298427,1,1,9222.0,4.35719,1.35707,5.36804e-05,0.941495,1.00736,0.00513981,2.50956,0.0318517,1.67791,29.2063,4.16788,4.25412,1683.54,0.00338199,0.0232623,0.0979372,5.80253,0.69581,201,169.0717,7.56701,3.43714,2953.49,17983.0,"14,15,16,17,18,19,20,21,22,23"
41072,00256324377-01,256324377,1,3,3652.0,4.66497,0.610818,6.07946e-06,1.33465,0.0869697,0.0209418,1.58386,0.0117198,0.583782,298.631,25.548,1.13213,1683.91,0.000729003,0.420534,0.975966,4.82817,0.10942,444,336.5918,16.08819,4.58268,1137.33,395.432,"14,15,16,17,18,19,20,21,22,23"
41073,00256324377-02,256324377,2,3,3652.0,4.66497,1.22161,2.42098e-05,0.826172,0.517476,0.0129634,3.17276,0.0186038,0.583782,174.237,18.8134,2.20114,1684.03,0.00952589,0.0570554,0.70988,7.00505,-0.23058,222,131.3646,8.68578,4.37651,902.708,156.932,"14,15,16,17,18,19,20,21,22,23"
41074,00256324377-03,256324377,3,3,3652.0,4.66497,0.610752,2.08107e-05,0.699014,0.547688,0.0109681,1.88174,0.011719,0.583782,123.397,16.4145,1.93872,1683.82,0.00937361,0.046922,0.729196,3.18329,0.19409,444,282.4848,8.13145,4.85499,1137.37,395.489,"14,15,16,17,18,19,20,21,22,23"
41091,00256555422-01,256555422,1,4,8088.0,4.26524,0.226785,4.39705e-05,1.32254,0.679939,0.00709189,4.49044,0.00911327,1.70822,52.2183,25.9321,0.301873,1683.43,0.00143307,0.00368828,0.648754,9.34168,0.16427,1072,569.8472,9.41845,3.46692,4886.16,134708.0,"14,15,16,17,18,19,20,21,22,23"
41092,00256555422-02,256555422,2,4,8088.0,4.26524,0.226776,4.9295e-06,2.81579,0.86697,0.0150992,2.72525,0.00911303,1.70822,245.625,27.7537,0.582183,1683.46,0.00207853,0.0119152,0.5,9.68293,0.0656,1072,649.3883,8.61607,3.64567,4886.23,134715.0,"14,15,16,17,18,19,20,21,22,23"
41093,00256555422-03,256555422,3,4,8088.0,4.26524,0.226794,-1.0,5.82606,-1.0,0.0312413,3.60781,0.00911351,1.70822,1087.64,-1.0,0.5,1683.53,-1.0,0.0156938,0.1,11.60801,0.06531,1072,736.9482,8.10214,3.8407,4886.1,134700.0,"14,15,16,17,18,19,20,21,22,23"
41094,00256555422-04,256555422,4,4,8088.0,4.26524,0.226797,1.07906e-05,2.93002,0.76636,0.0157118,2.50205,0.0091136,1.70822,224.871,28.483,0.351831,1683.36,0.000351953,0.0273046,0.9,0.0,0.11337,1073,893.9983,10.60261,3.41701,4886.07,134698.0,"14,15,16,17,18,19,20,21,22,23"
41099,00256738604-01,256738604,1,1,3378.0,4.86984,0.296543,2.2555e-05,1.2408,0.255055,0.0320876,1.31962,0.00607206,0.354212,1039.43,100.589,1.60224,1816.15,0.00155969,0.129197,0.755749,9.60095,0.15275,178,95.56316,7.1755,2.43754,1138.45,396.992,"14,15,16,17,18,19,20,21,22,23"
41100,00256771035-01,256771035,1,1,3209.0,5.00491,0.260526,3.87694e-05,1.17332,0.0851522,0.0454177,1.05009,0.00472155,0.23664,1615.35,174.279,2.69398,1816.33,0.00360448,1.04025,0.944361,6.43546,0.18981,203,77.89144,7.8529,3.14052,1002.45,238.658,"14,15,16,17,18,19,20,21,22,23"
41101,00256978045-01,256978045,1,2,8641.0,4.438,0.286326,2.20358e-05,5.19317,1.44959,0.00911828,1.43966,0.0255863,5.21695,75.7462,24.3392,0.89146,1683.43,0.000814903,0.0456681,0.90654,8.36886,0.14859,749,243.5839,7.88612,3.02067,5444.53,207665.0,"14,15,16,17,18,19,20,21,22,23"
41102,00256978045-02,256978045,2,2,8641.0,4.438,0.28636,1.13261e-05,7.42631,0.92089,0.0130393,1.40243,0.0255883,5.21695,155.984,25.5256,0.978308,1683.57,0.00041426,0.0666568,0.899945,0.0,0.14188,749,229.0743,9.22759,3.87001,5444.32,207632.0,"14,15,16,17,18,19,20,21,22,23"
41104,00257023157-01,257023157,1,2,5960.0,4.438,0.415553,3.87071e-06,3.32776,0.11708,0.0304824,1.77718,0.0109037,1.0,819.263,50.7259,1.05926,1683.74,0.000133752,0.152687,0.9,15.9675,0.20857,586,139.0627,24.2123,4.14924,2518.56,9508.83,"14,15,16,17,18,19,20,21,22,23"
41105,00257023157-02,257023157,2,2,5960.0,4.438,0.415543,4.10891e-06,3.29197,0.124147,0.0301546,1.75577,0.0109035,1.0,801.496,52.3433,1.07504,1683.53,0.000149544,0.153909,0.900245,0.96007,0.10414,585,83.44045,18.60696,3.08017,2518.58,9509.15,"14,15,16,17,18,19,20,21,22,23"
41118,00257082573-01,257082573,1,2,4861.0,4.58806,0.449064,2.44577e-05,1.60259,1.87238,0.0196292,2.33888,0.0106152,0.747857,469.998,57.673,1.54745,1842.87,0.00146482,0.0318517,0.00999983,9.36159,0.21986,187,60.89282,7.97945,3.45775,1800.38,2483.0,"14,15,16,17,18,19,20,21,22,23"
41119,00257082573-02,257082573,2,2,4861.0,4.58806,0.449031,1.97292e-05,2.74828,0.22682,0.033662,1.21151,0.0106146,0.747857,905.708,65.1014,2.17018,1842.65,0.00153198,0.451671,0.92402,0.62635,0.33243,187,73.49507,9.85182,3.32849,1800.42,2483.24,"14,15,16,17,18,19,20,21,22,23"
41125,00258509996-01,258509996,1,1,7048.0,3.59495,1.34198,1.40174e-05,5.71566,1.89206,0.0158798,5.99801,0.02763,3.297,273.403,16.3099,1.52437,1711.45,0.000778245,0.0317432,0.497892,1.59179,0.96942,161,92.30469,14.32277,3.78934,3397.24,31479.5,"14,15,16,17,18,19,20,21,22,23"
41126,00258514800-01,258514800,1,1,5466.0,4.48625,0.470253,8.74844e-06,1.56205,0.377968,0.0154688,1.67876,0.011665,0.92499,216.598,16.7546,1.34709,1711.37,0.000944091,0.0832658,0.868521,0.52686,0.23887,458,261.6789,13.161,3.85896,2147.77,5028.89,"14,15,16,17,18,19,20,21,22,23"
41130,00258547069-03,258547069,3,4,5780.0,4.99,0.844435,1.83558e-05,1.11149,0.143051,0.0411741,2.08563,0.0105273,0.247274,1879.09,168.899,2.99425,1711.81,0.00133457,0.169425,0.515298,16.28512,0.41936,255,46.04591,10.04358,3.64789,1236.09,551.722,"14,15,16,17,18,19,20,21,22,23"
41131,00258547069-04,258547069,4,4,5780.0,4.99,0.844338,1.96693e-05,2.14025,0.144331,0.0792837,1.24498,0.0105265,0.247274,5207.0,264.445,4.75224,1711.39,0.00256435,2.37612,0.92083,0.0,0.42081,255,160.811,16.73842,4.66651,1236.14,551.806,"14,15,16,17,18,19,20,21,22,23"
41138,00258773721-01,258773721,1,5,7942.0,4.18372,0.316108,1.0053e-05,2.31819,0.663562,0.0114735,2.54334,0.0112681,1.85076,146.952,17.237,0.983377,1683.46,0.000404807,0.0119081,0.1,7.83585,0.21194,859,536.2845,9.32403,2.9192,4491.29,96162.0,"14,15,16,17,18,19,20,21,22,23"
41139,00258773721-02,258773721,2,5,7942.0,4.18372,0.277863,7.50289e-06,6.16531,2.0781,0.0305142,1.2714,0.0103399,1.85076,492.348,53.4621,0.781869,1683.51,0.000478926,0.390935,0.989628,10.40628,0.15805,977,605.3836,10.52303,3.79662,4688.55,114203.0,"14,15,16,17,18,19,20,21,22,23"
41140,00258773721-03,258773721,3,5,7942.0,4.18372,0.277865,6.75616e-06,4.39447,0.319539,0.0217497,2.27195,0.0103399,1.85076,432.213,36.226,0.496173,1683.39,0.000189997,0.0522705,0.900299,6.50235,0.19894,978,1036.546,12.04871,5.10801,4688.54,114202.0,"14,15,16,17,18,19,20,21,22,23"
41149,00258799793-01,258799793,1,3,3595.0,4.68697,0.254856,1.82308e-06,5.32271,0.187496,0.0873632,2.46215,0.00645867,0.558087,7916.15,212.295,0.701361,1683.52,6.20007e-05,0.106642,0.7,9.98751,0.15379,1065,338.396,68.85136,6.56074,1474.59,1117.38,"14,15,16,17,18,19,20,21,22,23"
41150,00258799793-02,258799793,2,3,3595.0,4.68697,0.509727,8.20857e-06,3.17627,0.237119,0.0521331,2.14039,0.0102527,0.558087,2833.43,317.955,1.55706,1683.65,0.000294731,0.150071,0.69745,44.54872,0.25691,533,333.5732,18.71197,3.3331,1170.37,443.416,"14,15,16,17,18,19,20,21,22,23"
41158,00258804174-01,258804174,1,2,3020.0,5.13377,0.705399,1.7737e-05,0.903374,0.241339,0.0498677,2.21895,0.00799219,0.165938,2924.91,339.005,2.65579,1683.88,0.00200511,0.135697,0.00999983,13.87093,0.33729,385,197.658,8.81702,2.61133,607.21,32.1275,"14,15,16,17,18,19,20,21,22,23"
41159,00258804174-02,258804174,2,2,3020.0,5.13377,1.41089,4.55925e-05,1.32095,0.0854488,0.0729184,1.88359,0.0126873,0.165938,5496.77,369.614,5.14751,1683.47,0.0045669,0.706912,0.713582,12.26205,0.69998,193,137.894,13.59728,4.28504,481.933,12.7487,"14,15,16,17,18,19,20,21,22,23"
41164,00258827801-02,258827801,2,4,7787.0,4.42292,0.249362,-1.0,6.11939,-1.0,0.0406087,3.99327,0.00950618,1.38034,1832.12,-1.0,0.5,1683.39,-1.0,0.0201113,0.1,13.99751,0.08331,1090,771.481,11.48995,4.39685,4140.49,69459.1,"14,15,16,17,18,19,20,21,22,23"
41165,00258827801-03,258827801,3,4,7787.0,4.42292,0.249359,1.01055e-05,2.99404,0.550287,0.0198687,2.63804,0.0095061,1.38034,360.492,42.5515,0.368924,1683.47,0.000363207,0.0359656,0.901365,0.0,0.12466,1089,853.2659,11.37321,3.26991,4140.51,69460.3,"14,15,16,17,18,19,20,21,22,23"
41166,00258827801-01,258827801,1,4,7787.0,4.42292,0.249362,-1.0,5.38558,-1.0,0.0357392,3.97442,0.00950618,1.38034,1419.14,-1.0,0.5,1683.56,-1.0,0.0177892,0.1,12.32921,0.08371,1089,580.6565,8.6361,3.40558,4140.49,69459.1,"14,15,16,17,18,19,20,21,22,23"
41167,00258827801-04,258827801,4,4,7787.0,4.42292,0.249345,2.01806e-05,3.84318,4.23391,0.0255036,1.03058,0.00950574,1.38034,725.288,99.6652,2.80278,1683.55,0.00836179,0.221242,0.040718,15.71133,0.1733,1090,1415.906,13.89208,3.66206,4140.59,69465.5,"14,15,16,17,18,19,20,21,22,23"
41168,00258831213-01,258831213,1,2,6354.0,4.26724,0.367871,1.04101e-05,1.57231,0.518256,0.0105316,4.44701,0.0108641,1.36755,115.455,15.6695,0.482345,1683.36,0.000672473,0.00927582,0.676509,8.56317,0.18019,739,517.9926,9.1844,3.15948,3145.67,23140.6,"14,15,16,17,18,19,20,21,22,23"
41169,00258831213-02,258831213,2,2,6354.0,4.26724,0.367872,1.10971e-05,1.45652,1.25506,0.00975598,6.0445,0.0108641,1.36755,107.849,15.7629,0.460236,1683.54,0.000675782,0.00471833,0.223153,2.0392,0.22098,738,544.635,8.44891,3.14807,3145.67,23140.5,"14,15,16,17,18,19,20,21,22,23"
41170,00258869917-01,258869917,1,2,7440.0,4.03465,0.510954,1.11166e-05,1.65999,0.962572,0.00732086,2.26622,0.0149481,2.07702,59.9456,5.90914,1.79787,1683.54,0.00117228,0.0140524,0.00999983,9.98896,0.27498,532,416.0426,9.95245,3.21156,3869.83,53001.4,"14,15,16,17,18,19,20,21,22,23"
41171,00258869917-02,258869917,2,2,7440.0,4.03465,0.511,9.88393e-06,1.90804,0.305656,0.00841483,1.45005,0.014949,2.07702,64.6548,6.19502,1.57817,1683.8,0.00110189,0.0734224,0.904524,1.49949,0.35956,531,590.1351,10.54679,4.24582,3869.71,52995.1,"14,15,16,17,18,19,20,21,22,23"
41174,00258922572-01,258922572,1,1,3688.0,4.73086,0.365982,1.05409e-05,1.41353,0.0962417,0.0255141,1.03938,0.00798051,0.507485,474.372,47.0894,3.12135,1683.46,0.00293859,1.06439,0.965226,10.10837,0.18748,742,482.1228,11.07314,3.41309,1297.71,670.252,"14,15,16,17,18,19,20,21,22,23"
