,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,Sectors
10,00007772500-01,7772500,1,1,5717.0,4.46907,0.551185,0.000124602,1.84307,2.64737,0.0173236,2.00395,0.0132508,0.97454,345.123,44.3186,2.14407,2010.49,0.0030048,0.0444229,0.325314,1.73647,0.14303,45,22.97225,7.39856,2.39663,2163.41,5176.95,26
37,00018422438-01,18422438,1,2,5021.0,4.58181,0.315551,9.22936e-06,9.94225,5.25598,0.117671,1.74481,0.00854306,0.773951,6194.88,200.982,0.922084,2010.46,0.000377988,0.461042,0.979089,27.74042,0.15827,79,68.10011,20.84872,4.13541,2108.78,4673.58,26
38,00018422438-02,18422438,2,2,5021.0,4.58181,0.31557,8.26516e-06,8.87624,4.32079,0.105054,1.75589,0.00854341,0.773951,5359.13,170.057,0.885457,2010.3,0.000333744,0.442729,0.972373,1.54557,0.0531,79,116.6597,28.00002,5.54524,2108.74,4673.2,26
47,00020534584-02,20534584,2,3,10130.0,3.82202,0.441584,2.53436e-05,6.21782,1.88806,0.0173791,4.5105,0.0156138,3.27724,308.902,28.0441,0.562154,2010.42,0.000662991,0.0186481,0.699119,10.56703,0.17602,57,36.39857,10.33384,4.04092,6475.91,415646.0,26
49,00021125485-01,21125485,1,1,6041.0,3.4314,0.7619,0.000112769,7.40552,3.65692,0.0201146,2.27389,0.0169635,3.37242,455.454,42.5391,2.54109,2010.68,0.00198073,0.0618758,0.37612,2.14066,0.3347,33,13.5367,8.91512,2.75947,3758.5,47160.4,26
56,00021829304-04,21829304,4,4,5687.87,4.04048,1.1242,0.337053,0.22551,142.15,0.0013005,1.22882,0.0212413,1.58838,1.95599,451.774,8.09208,2010.5,14.1882,0.0159827,0.205966,14.08262,0.42775,23,15.36499,66.48421,26.40845,2170.34,5243.64,26
64,00023539980-01,23539980,1,1,5543.0,4.67239,0.577248,8.64354e-05,8.37563,4.53241,0.101707,1.25357,0.0134659,0.754332,4283.8,229.362,2.99665,2010.71,0.00212037,1.49832,0.990105,2.97938,0.21463,43,7.35298,13.67995,3.45357,1830.63,2654.13,26
65,00023541457-01,23541457,1,1,6346.0,4.29418,1.48167,0.000707946,7.43555,1.80542,0.0514142,1.34197,0.0274875,1.32473,1962.51,270.932,5.39586,2011.1,0.00664364,2.69793,0.959171,1.3472,0.63887,17,13.20433,10.79185,3.69669,1943.96,3375.0,26
71,00028069786-01,28069786,1,3,2867.0,5.17089,0.232856,2.31803e-05,1.05554,0.864549,0.0640475,4.25018,0.00368772,0.150963,4415.61,842.936,0.3742,2010.32,0.000884124,0.0345477,0.600253,9.16648,0.15623,107,54.58559,8.34283,2.84282,809.424,101.444,26
72,00028069786-02,28069786,2,3,2867.0,5.17089,0.232916,1.78157e-05,1.27563,0.264438,0.0774018,2.70286,0.00368835,0.150963,6126.3,698.155,0.553172,2010.39,0.000733822,0.0802748,0.72557,11.6028,0.0781,107,69.88425,9.57996,3.14237,809.354,101.409,26
73,00028069786-03,28069786,3,3,2867.0,5.17089,0.23288,1.88155e-05,1.48803,0.170739,0.0902896,2.09684,0.00368797,0.150963,6993.08,920.019,0.592912,2010.47,0.000843954,0.224747,0.896815,0.0,0.11642,106,83.3052,10.92699,3.1544,809.396,101.43,26
75,00039389004-01,39389004,1,2,4987.0,4.57517,0.27739,1.01922e-05,5.83584,2.18826,0.0687089,1.25933,0.00782704,0.778015,1887.87,52.8336,1.15123,2010.49,0.000463057,0.575617,0.990105,17.13631,0.1409,89,45.34856,15.5153,3.61445,2193.95,5475.53,26
76,00039389004-02,39389004,2,2,4987.0,4.57517,0.277428,9.82764e-06,2.27216,0.992574,0.0267515,3.00876,0.00782776,0.778015,741.93,53.5844,0.550473,2010.35,0.000339514,0.02798,0.699584,0.0,0.13852,90,66.0164,13.45813,3.85968,2193.85,5474.53,26
85,00043434316-01,43434316,1,1,3089.0,5.05728,0.5937,0.000278217,1.67472,1.25289,0.0753064,1.25895,0.00770251,0.203708,3804.59,704.325,2.95843,2010.47,0.00651108,1.47921,0.951942,3.92021,0.16942,42,15.60512,7.56832,2.76055,700.967,57.0574,26
94,00044022981-02,44022981,2,2,6361.0,4.22741,1.38122,0.000313892,9.35466,0.619626,0.0596617,2.12227,0.0262999,1.43625,3363.28,253.31,3.50931,2011.64,0.00302742,0.645716,0.848223,3.493,0.90134,19,23.40823,12.21133,4.51237,2074.22,4374.64,26
98,00044311634-01,44311634,1,2,5349.34,4.47743,0.235757,1.0268e-05,7.03294,4.98059,0.0700881,1.29037,0.00728117,0.919158,2055.72,80.4149,0.933371,2010.47,0.000525616,0.466685,0.987935,9.89307,0.11805,105,55.89958,16.48372,3.81768,2652.08,11691.4,26
99,00044311634-02,44311634,2,2,5349.34,4.47743,0.235758,2.19802e-05,5.10613,5.62465,0.0508861,1.17783,0.00728119,0.919158,1069.18,77.2849,1.05342,2010.36,0.00111187,0.526709,0.990105,0.0,0.11785,106,99.06864,11.45156,3.56719,2652.08,11691.4,26
106,00047673438-01,47673438,1,1,4937.0,4.5574,0.702734,0.000142602,1.76788,2.72803,0.0206176,3.38026,0.0144397,0.785438,516.804,63.1372,1.64656,2010.76,0.00273815,0.034281,0.00999983,4.42939,0.35957,35,20.20358,7.55356,3.15759,1606.69,1574.89,26
110,00047760477-01,47760477,1,1,5912.0,4.13386,0.482213,5.65533e-05,2.98265,3.17019,0.0185563,2.23311,0.0123388,1.47234,397.348,36.8111,1.71325,2010.56,0.00153524,0.034999,0.207544,2.55521,0.12637,52,40.0146,8.69431,2.90505,2849.67,15584.6,26
117,00048357756-01,48357756,1,2,4277.0,4.61162,0.443434,4.69084e-05,1.42159,0.705631,0.0194272,1.89787,0.00996375,0.67029,433.157,42.2439,1.71759,2010.33,0.00143488,0.0470714,0.498553,4.76469,0.30692,57,19.77361,8.54153,3.09238,1547.93,1356.83,26
118,00048357756-02,48357756,2,2,4277.0,4.61162,0.443492,5.6268e-05,1.65334,0.764601,0.0225943,1.93069,0.00996463,0.67029,515.958,62.9137,1.37767,2010.63,0.00380555,0.0690185,0.740525,2.77823,0.26018,56,20.13161,7.59451,2.67196,1547.86,1356.59,26
130,00068632409-02,68632409,2,3,6695.0,3.94117,1.09081,7.55131e-05,6.37904,5.75324,0.0276829,18.0429,0.023317,2.11077,801.403,105.062,0.369149,2010.59,0.00182653,0.0168007,0.646939,8.39782,0.6406,23,13.74853,8.15336,3.66009,2810.78,14751.2,26
150,00084884573-01,84884573,1,2,5730.0,4.22051,0.368732,1.06526e-05,3.78992,1.61824,0.0267576,5.65679,0.0101357,1.29742,730.782,40.353,0.369222,2010.51,0.000327137,0.0194833,0.718637,15.61982,0.18535,67,59.1718,17.56013,3.85784,2860.62,15825.7,26
151,00084884573-02,84884573,2,2,5730.0,4.22051,0.368698,1.53733e-05,2.98954,2.00666,0.0211067,4.87445,0.0101351,1.29742,472.566,31.4501,0.465407,2010.33,0.000500472,0.0162406,0.64105,1.51683,0.26769,68,86.37766,15.03466,4.57814,2860.71,15827.6,26
156,00085461580-01,85461580,1,2,7812.0,4.12267,0.255524,1.89635e-05,2.95648,0.960051,0.0138294,1.98258,0.00968827,1.95826,175.22,21.7456,0.52181,2010.41,0.000771711,0.0362656,0.900073,5.68761,0.12732,97,66.27184,8.82427,2.97932,4900.79,136328.0,26
157,00085461580-02,85461580,2,2,7812.0,4.12267,0.255531,2.47385e-05,2.32283,1.97511,0.0108654,3.33517,0.00968846,1.95826,131.679,18.5543,0.601095,2010.28,0.000972102,0.00666675,0.0108259,0.9552,0.08539,98,56.73428,7.28673,2.52562,4900.74,136323.0,26
158,00085512095-01,85512095,1,1,6192.67,3.8053,0.498795,1.79903e-05,4.90547,2.74686,0.0199054,4.78778,0.0130399,2.2574,447.171,18.4034,0.776869,2010.38,0.000454781,0.0171225,0.323793,1.57523,0.16109,50,55.3446,20.57242,4.3668,3595.31,39488.1,26
164,00085743488-01,85743488,1,2,8892.0,4.438,0.296027,2.76117e-05,3.77453,0.791107,0.00646184,2.49522,0.026606,5.35062,45.0398,11.4526,0.843315,2010.55,0.000773831,0.00721544,0.463817,8.59984,0.14731,85,39.18981,7.38483,3.67501,5564.22,226536.0,26
165,00085743488-02,85743488,2,2,8892.0,4.438,0.296004,1.96487e-05,4.90221,0.733172,0.00839238,1.39366,0.0266046,5.35062,64.8523,11.6235,0.998492,2010.41,0.000590839,0.0448948,0.900048,0.43556,0.09303,84,75.18887,8.68805,3.35817,5564.36,226559.0,26
177,00101675455-02,101675455,2,3,7373.0,3.9612,1.02959,-1.0,8.14484,-1.0,0.0332622,8.11139,0.0237256,2.243,1236.66,-1.0,1.0,2011.27,-1.0,0.0326657,0.1,9.65558,0.75179,0,25.10652,37.47386,17.656,3163.31,23664.1,26
178,00101675455-03,101675455,3,3,7373.0,3.9612,0.343309,-1.0,6.56866,-1.0,0.0268253,2.74812,0.0114086,2.243,804.34,-1.0,1.0,2010.31,-1.0,0.0276245,0.1,4.46801,0.10692,73,50.45188,13.79887,11.48368,4561.79,102344.0,26
187,00101767697-01,101767697,1,1,5309.0,4.438,1.11521,-1.0,3.78979,-1.0,0.0347147,3.56191,0.0210569,1.0,1436.86,-1.0,2.5,2011.37,-1.0,0.0869501,0.1,4.06182,-0.2778,23,15251.55,440.0237,127.6718,1614.39,1605.29,26
192,00102807490-01,102807490,1,1,5780.0,4.438,0.404604,1.50946e-05,3.73288,0.597938,0.0341934,1.16006,0.0107113,1.0,540.405,18.4396,1.59772,2010.32,0.000517566,0.798862,0.990105,2.4694,0.1472,62,136.1347,23.72487,5.71661,2464.33,8715.96,26
195,00103199606-02,103199606,2,4,6158.0,4.52239,0.210597,9.93362e-06,5.52324,0.740795,0.0515195,1.30654,0.00730577,0.982018,1978.61,202.22,0.824304,2010.4,0.000525531,0.412152,0.956791,7.18264,0.14493,118,20.12934,12.87165,3.6799,3150.35,23278.5,26
196,00103199606-03,103199606,3,4,6158.0,4.52239,0.210614,1.36543e-05,3.06597,1.40096,0.0285987,5.02253,0.00730617,0.982018,934.696,117.975,0.330332,2010.33,0.000674725,0.00939598,0.1,6.81681,0.13227,118,67.38533,9.21924,3.69101,3150.26,23275.9,26
197,00103199606-04,103199606,4,4,6158.0,4.52239,0.421218,1.45844e-05,3.64353,1.36236,0.0339861,10.2958,0.0115976,0.982018,1286.01,122.964,0.300472,2010.46,0.000680571,0.0115694,0.385801,0.45127,0.25755,59,19.24481,9.02655,2.73448,2500.38,9237.36,26
201,00103449681-01,103449681,1,1,7149.0,4.438,0.272285,4.12246e-05,2.00784,1.54085,0.0105313,2.74706,0.0119289,1.7464,122.216,20.1532,0.732076,2010.48,0.00157308,0.00923909,0.375766,6.73897,0.08904,91,63.88138,8.10058,2.4758,3816.89,50160.0,26
207,00115507313-01,115507313,1,2,3888.37,4.68668,0.816751,7.97899e-05,6.09899,1.26208,0.0960254,1.63583,0.0144307,0.581794,6449.55,255.984,2.68258,2010.28,0.00141801,1.34129,0.944039,10.50602,0.40553,31,102.424,20.1732,6.21298,1089.43,332.906,26
208,00115507313-02,115507313,2,2,3888.37,4.68668,0.816578,0.000128416,2.3665,0.756439,0.0372593,3.05604,0.0144287,0.581794,1564.14,117.937,2.07521,2010.69,0.00208719,0.0843585,0.299135,0.0,0.40816,30,26.57657,11.91923,3.79015,1089.51,333.0,26
231,00120355394-02,120355394,2,2,5780.0,4.438,0.791319,4.22971e-05,2.00773,0.536219,0.0183909,4.04626,0.0167516,1.0,352.522,35.0286,1.14219,2010.48,0.000705877,0.0391983,0.690207,5.39789,0.21525,32,11.30665,10.13787,4.84753,1970.57,3563.59,26
245,00123014200-01,123014200,1,3,5415.0,4.46,0.342545,8.25032e-06,4.30985,0.772592,0.0417158,2.39603,0.00939737,0.946365,2033.62,82.7807,1.13832,2010.35,0.000265606,0.052275,0.282594,3.94517,0.0972,73,128.6973,21.79083,4.54348,2397.82,7812.46,26
246,00123014200-02,123014200,2,3,5415.0,4.46,0.685358,7.07289e-05,2.62634,3.67053,0.0254208,5.91818,0.0149213,0.946365,763.98,119.066,0.901941,2010.79,0.00270353,0.0230852,0.151743,5.50698,0.50333,36,34.79106,7.42652,3.07434,1902.9,3098.76,26
247,00123014200-03,123014200,3,3,5415.0,4.46,0.342587,3.50229e-05,2.56662,0.802337,0.0248428,2.45918,0.00939814,0.946365,511.673,70.0233,0.522846,2010.61,0.00122379,0.0744341,0.919474,8.19125,0.17637,73,41.37805,7.48738,2.77349,2397.72,7811.17,26
261,00135413533-01,135413533,1,1,6143.0,4.28872,0.31168,2.95517e-05,5.90444,3.30592,0.0421932,1.07486,0.0094716,1.28184,819.056,43.0877,2.12153,2010.54,0.00131542,1.06077,0.990105,0.79902,0.10882,81,90.00352,14.61031,3.74405,3153.39,23368.5,26
266,00135443051-04,135443051,4,4,5714.0,4.438,0.87976,7.96958e-05,6.75319,9.17536,0.0618595,3.13508,0.0179776,1.0,1622.76,188.228,0.86939,2010.93,0.00158275,0.434695,0.990105,2.5775,-0.1903,28,7.93733,10.6162,6.86096,1880.47,2955.2,26
275,00140682376-01,140682376,1,3,7278.0,4.19459,0.214461,1.30315e-05,2.78416,0.478797,0.0150463,1.72124,0.00827355,1.69497,206.543,33.4049,0.533538,2010.31,0.00035312,0.0404651,0.89999,13.30799,0.10414,116,64.21614,7.4868,3.22316,4596.62,105506.0,26
276,00140682376-02,140682376,2,3,7278.0,4.19459,0.214474,8.10282e-06,3.4394,0.534047,0.0185874,2.3312,0.00827389,1.69497,358.345,26.7711,0.572147,2010.47,0.000222802,0.0195872,0.674207,11.60677,0.11442,117,88.31393,12.56949,2.96542,4596.53,105497.0,26
277,00140682376-03,140682376,3,3,7278.0,4.19459,0.214478,6.06146e-06,3.27219,0.466654,0.0176837,3.1527,0.00827398,1.69497,338.54,21.56,0.479601,2010.37,0.00024006,0.0110231,0.476466,0.61996,0.05206,116,120.2306,11.3142,3.2169,4596.5,105495.0,26
283,00140864169-02,140864169,2,2,6030.61,3.9257,0.307732,2.64124e-05,2.25656,1.67912,0.0108281,2.4131,0.00926897,1.90894,134.237,11.8995,0.991056,2010.55,0.000971375,0.0119313,0.237063,0.0,0.15351,81,66.97913,10.17395,3.3732,3818.86,50263.8,26
284,00140864169-01,140864169,1,2,6030.61,3.9257,0.307844,3.60087e-05,2.04135,1.03884,0.00979541,1.92068,0.00927123,1.90894,96.1248,12.4871,0.902502,2010.39,0.00132633,0.0217973,0.764524,10.52355,0.14442,81,61.05812,7.64904,2.87275,3818.39,50239.3,26
286,00140963107-01,140963107,1,1,7484.0,4.29813,0.253893,1.99247e-05,2.16112,1.35644,0.0128407,3.74231,0.00941075,1.54166,183.239,24.3227,0.523343,2010.4,0.000735109,0.00702355,0.181937,6.36371,0.1031,98,85.58874,7.74649,3.03797,4226.76,75431.4,26
294,00142100389-01,142100389,1,3,7462.0,4.21364,0.264733,2.32086e-05,4.31646,0.388249,0.0233309,1.38276,0.00965983,1.6947,423.151,60.2925,0.650459,2010.3,0.00086942,0.271743,0.975293,8.3995,0.17706,94,43.86554,7.26709,2.95819,4361.23,85498.0,26
295,00142100389-02,142100389,2,3,7462.0,4.21364,0.220639,1.54909e-05,3.58558,1.32406,0.0193804,2.93707,0.00855499,1.6947,385.661,54.2677,0.443234,2010.48,0.000473852,0.0165589,0.699522,8.06488,0.08937,113,27.27617,7.68353,3.98653,4634.3,109008.0,26
296,00142100389-03,142100389,3,3,7462.0,4.21364,0.264752,1.83185e-05,3.74383,0.833168,0.0202358,2.3129,0.00966028,1.6947,383.302,48.2605,0.498597,2010.39,0.000560765,0.0408658,0.876388,9.9588,0.08852,94,76.88854,7.29142,2.60719,4361.13,85490.0,26
305,00150304481-01,150304481,1,1,6577.0,4.22223,0.521036,8.2429e-05,2.0534,2.68647,0.0125478,2.14465,0.0140717,1.49901,179.324,19.6679,1.95651,2010.34,0.00201163,0.0263367,0.0288594,2.7474,0.13609,48,40.27278,8.8015,3.49266,2995.36,19024.6,26
312,00154339226-01,154339226,1,2,5241.0,4.438,0.29323,2.03183e-05,6.65408,6.07516,0.0168444,3.22632,0.0203696,3.61852,339.426,34.229,0.718231,2010.38,0.000777493,0.0123019,0.00999983,10.49631,0.15137,85,64.75138,10.87091,4.01128,3082.34,21332.6,26
313,00154339226-02,154339226,2,2,5241.0,4.438,0.293123,2.35139e-05,6.52936,8.08109,0.0165286,2.25706,0.0203646,3.61852,326.202,29.9301,1.03991,2010.53,0.000869835,0.0184245,0.119611,0.0,0.14586,86,79.04198,10.85661,3.06115,3082.72,21343.0,26
320,00154699047-01,154699047,1,1,7518.96,3.75862,1.25129,0.000175101,5.93746,3.33582,0.01888,4.83106,0.0273274,2.88069,392.466,28.3034,1.88286,2010.7,0.00190763,0.0414191,0.387327,3.80146,0.61664,20,25.57963,11.10466,4.09875,3406.43,31821.2,26
321,00154716863-02,154716863,2,4,5780.0,4.438,0.458822,2.34472e-05,1.79651,0.955779,0.0164561,5.96274,0.011648,1.0,314.702,41.3209,0.593184,2010.55,0.000562204,0.00993922,0.159132,8.19507,-0.10836,54,21.79121,7.69657,2.41048,2363.17,7370.5,26
322,00154716863-01,154716863,1,4,5780.0,4.438,0.458778,2.05624e-05,1.94112,0.860027,0.0177808,5.52249,0.0116473,1.0,352.005,41.9343,0.573275,2010.27,0.000505309,0.0131054,0.483069,7.97774,0.28227,55,32.84603,7.61257,2.45573,2363.24,7371.45,26
323,00154716863-03,154716863,3,4,5780.0,4.438,0.458823,2.40082e-05,1.82101,0.728655,0.0166805,5.82025,0.011648,1.0,309.207,38.2747,0.540593,2010.44,0.000578846,0.0116969,0.489796,7.3026,0.17394,54,47.76401,7.90376,3.63965,2363.16,7370.47,26
324,00154716863-04,154716863,4,4,5780.0,4.438,0.229436,1.76232e-05,1.40604,0.636939,0.0128794,3.38068,0.00733832,1.0,182.133,29.0767,0.457345,2010.38,0.000580117,0.0082628,0.533118,4.3411,-0.05731,108,103.2722,7.54597,2.85388,2977.29,18569.8,26
334,00156103261-01,156103261,1,2,5967.0,4.51506,0.27671,2.91469e-05,1.89192,2.53483,0.0181045,2.84937,0.00856776,0.957223,380.214,57.8015,0.772355,2010.35,0.00111863,0.0143447,0.00999983,6.26082,0.14303,90,36.20546,7.1031,2.78505,2783.05,14177.6,26
335,00156103261-02,156103261,2,2,5967.0,4.51506,0.276788,4.21525e-05,4.87001,3.52582,0.0466031,1.08972,0.00856938,0.957223,971.676,76.0752,1.77815,2010.48,0.00202106,0.889077,0.990105,0.43273,0.19898,90,48.80139,9.19389,2.79243,2782.79,14172.3,26
338,00156169159-01,156169159,1,2,6535.0,4.38681,0.74518,0.00011038,7.22098,3.82396,0.0536656,1.23554,0.0177882,1.23253,1318.38,64.1428,2.8999,2011.0,0.00198694,1.44995,0.990105,4.62272,0.37359,34,42.11086,13.35467,4.54981,2400.33,7845.21,26
339,00156169159-02,156169159,2,2,6535.0,4.38681,0.744474,0.000140374,2.34321,1.52054,0.0174145,2.20553,0.0177769,1.23253,338.711,40.6142,2.56995,2010.65,0.00240932,0.0541132,0.36475,0.0,0.37199,33,14.42424,7.6169,3.37377,2401.09,7855.13,26
344,00157448336-04,157448336,4,4,4709.0,4.2686,1.34861,-1.0,5.15151,-1.0,0.0447403,2.46038,0.0217454,1.05471,2452.34,-1.0,4.5,2010.7,-1.0,0.206103,0.1,34.69701,0.84164,0,17.93813,16.42904,5.20767,1447.11,1036.41,26
381,00159296833-01,159296833,1,1,5408.0,4.45257,0.518081,5.38203e-05,2.39598,2.69482,0.0230179,2.78501,0.0123733,0.953484,629.949,58.7506,1.48861,2010.47,0.00132651,0.0350515,0.0112387,3.47491,0.14859,48,42.16274,10.05944,2.99438,2094.8,4550.83,26
384,00159336052-01,159336052,1,1,4233.0,4.67764,0.615555,0.000156393,4.46827,4.67663,0.0663822,1.1807,0.0123368,0.616574,1733.71,144.118,3.11923,2010.82,0.00346895,1.55962,0.990105,3.45173,0.2571,41,14.48987,9.84867,3.32549,1320.48,718.532,26
387,00159345743-01,159345743,1,1,5917.0,4.49092,0.366014,2.42383e-05,1.87831,1.0312,0.0175946,2.59529,0.0102798,0.977878,315.455,24.6785,0.80397,2010.61,0.000795167,0.0302021,0.732816,2.76408,0.10215,69,55.53248,10.82159,3.43393,2546.5,9937.97,26
393,00159466193-01,159466193,1,1,3726.0,4.67693,1.25827,0.000325241,2.41027,0.611554,0.0387486,3.495,0.0188416,0.569779,1619.87,211.847,2.3535,2010.52,0.00349027,0.141797,0.619534,4.66732,0.62914,20,7.84331,7.10865,3.02178,904.126,157.92,26
410,00160519380-01,160519380,1,1,3899.0,4.42569,0.241102,4.34284e-06,5.30389,0.614021,0.061834,2.44674,0.00639777,0.785714,3060.27,139.781,0.435447,2010.47,0.000171729,0.141984,0.91949,4.05035,0.05567,103,62.79844,21.97807,4.74375,1906.62,3123.01,26
425,00164461124-03,164461124,3,3,6387.17,4.05527,0.346511,3.45459e-05,6.0263,1.65241,0.031401,2.24385,0.0104888,1.75794,945.085,96.2824,0.78366,2010.3,0.00125336,0.0751234,0.83329,3.47916,0.25414,72,39.21943,7.33431,3.12986,3648.71,41887.0,26
427,00164463075-02,164463075,2,2,6106.5,4.23215,0.384667,-1.0,6.34779,-1.0,0.0427771,6.13079,0.0108509,1.35928,2095.02,-1.0,0.5,2010.41,-1.0,0.0208875,0.1,60.35212,0.06144,65,14.78443,7.30965,2.35555,3015.82,19549.7,26
428,00164463430-01,164463430,1,1,3018.0,5.00917,0.368037,4.84526e-05,1.59224,0.8942,0.0624068,2.99429,0.00591457,0.233709,4524.18,569.148,0.993941,2010.29,0.001562,0.0641888,0.24801,8.19356,0.18887,68,40.05528,7.22206,2.2477,837.119,116.057,26
441,00164644375-03,164644375,3,3,3197.0,4.97886,0.546866,3.90026e-05,3.34723,0.135382,0.119953,1.07375,0.00798748,0.255606,12174.8,421.408,6.56239,2010.65,0.000731347,3.28119,0.891032,8.23752,0.14442,46,18.05594,7.65871,3.17784,798.023,95.8477,26
460,00180698725-01,180698725,1,1,5453.0,4.41041,0.294276,-1.0,6.29507,-1.0,0.0572469,4.77258,0.00852235,1.00727,3864.07,-1.0,0.5,2010.55,-1.0,0.0277183,0.1,16.66681,0.15988,85,128.488,12.7464,5.64692,2615.9,11066.3,26
475,00188816156-03,188816156,3,3,5131.27,4.61987,0.588793,-1.0,4.83048,-1.0,0.0586518,9.50123,0.0131066,0.754408,4101.23,-1.0,0.5,2010.3,-1.0,0.0280632,0.1,0.75305,0.29269,43,52.1985,11.8739,3.2701,1717.81,2057.87,26
478,00193578361-02,193578361,2,2,5214.52,4.51871,0.25812,-1.0,6.15072,-1.0,0.0656053,4.23032,0.00763008,0.858785,5141.45,-1.0,0.5,2010.49,-1.0,0.0316335,0.1,4.43432,0.1758,97,40.59763,16.29509,2.88347,2441.09,8391.84,26
489,00193770329-01,193770329,1,1,5321.0,4.29883,0.316325,-1.0,7.42676,-1.0,0.0604201,2.62733,0.00884161,1.12594,4343.38,-1.0,1.0,2010.58,-1.0,0.0604091,0.1,16.52755,0.15831,79,72.11299,19.24378,3.9849,2649.58,11647.4,26
501,00193869952-01,193869952,1,2,10905.0,4.18283,1.08194,7.95169e-05,4.97325,0.790742,0.0201528,2.80572,0.0292215,2.26049,445.069,39.9463,3.07565,2010.28,0.000998416,0.0635454,0.00999983,7.64458,0.72775,24,14.33283,11.53164,4.54897,4232.21,75821.2,26
502,00193869952-02,193869952,2,2,10905.0,4.18283,1.08179,9.63276e-05,4.51633,2.24234,0.0183012,11.7859,0.0292188,2.26049,363.752,38.4605,0.689257,2010.5,0.00176675,0.0133803,0.271036,4.5175,0.11803,23,29.00954,8.76713,5.24882,4232.41,75835.3,26
503,00198082689-01,198082689,1,1,5848.0,4.67526,0.360779,9.03124e-05,1.63767,0.278033,0.0191816,1.27674,0.0101056,0.782055,305.141,41.5162,1.35723,2010.61,0.003166,0.185295,0.931939,4.44116,0.16803,70,61.34735,7.4472,3.48466,2270.06,6275.83,26
504,00198179599-01,198179599,1,1,6979.0,4.27196,1.09048,0.000250856,2.31391,1.77358,0.0141482,2.39314,0.0239101,1.49811,225.968,23.795,3.6411,2011.07,0.00303968,0.0542882,0.0534046,3.46745,0.70143,23,13.27847,7.81397,3.72965,2437.62,8344.21,26
534,00198420098-01,198420098,1,1,6326.03,4.20702,0.89482,0.000116634,6.59531,2.93956,0.0414145,4.49748,0.0195872,1.45875,1958.29,139.642,1.59644,2010.47,0.0017378,0.0646085,0.0366134,2.32421,0.27914,28,68.63683,11.57426,4.81426,2408.95,7958.47,26
543,00199574208-02,199574208,2,2,3214.0,4.90637,1.26805,-1.0,3.50449,-1.0,0.100957,2.44937,0.0153095,0.317971,11984.0,-1.0,4.5,2011.29,-1.0,0.43986,0.1,257.0659,0.78331,20,9.49051,236.6996,68.83093,646.324,41.2404,26
556,00199682037-01,199682037,1,2,5615.0,4.438,0.296686,1.17834e-05,4.6543,0.743582,0.0295758,1.8349,0.0111147,1.4415,909.113,97.9481,1.04893,2010.44,0.000365369,0.0608129,0.696978,13.70354,0.148,84,41.46316,11.6009,3.62764,2821.63,14980.4,26
557,00199682037-02,199682037,2,2,5615.0,4.438,0.296786,9.8852e-06,4.75246,1.78627,0.0301996,2.39831,0.0111172,1.4415,1071.72,97.4383,1.00256,2010.29,0.00030972,0.0315684,0.0993843,0.0,0.14835,84,40.04449,12.7554,3.49853,2821.32,14973.7,26
567,00202276766-01,202276766,1,3,8806.0,4.09642,0.466551,8.68618e-05,4.10882,1.97528,0.0170726,1.12916,0.0153499,2.20452,185.431,70.7623,1.57865,2010.58,0.00257523,0.789326,0.990105,9.13491,0.11387,53,28.55719,8.87496,3.72278,4656.67,111128.0,26
568,00202276766-02,202276766,2,3,8806.0,4.09642,0.933172,6.19696e-05,5.1277,0.71086,0.0213062,5.21318,0.0243676,2.20452,416.917,37.4789,0.670518,2011.16,0.00135091,0.0685515,0.900277,8.26165,-0.23058,26,48.44384,10.82995,5.86211,3695.91,44096.7,26
569,00202276766-03,202276766,3,3,8806.0,4.09642,0.933046,6.61159e-05,4.78178,1.32607,0.0198689,9.30247,0.0243654,2.20452,359.655,38.1307,0.362479,2010.93,0.00095137,0.0361391,0.904795,3.31369,-0.05419,26,31.871,8.51838,4.19046,3696.08,44104.7,26
575,00219751969-01,219751969,1,2,9550.0,3.99097,0.329094,2.51065e-05,3.01033,0.353343,0.010572,1.44245,0.0125486,2.60827,104.775,10.2013,1.11208,2010.27,0.000776049,0.0550094,0.885206,10.73149,0.16664,76,40.45421,8.21038,2.77378,6075.4,321973.0,26
576,00219751969-02,219751969,2,2,9550.0,3.99097,0.329103,2.32503e-05,2.73036,1.15814,0.00958883,2.73141,0.0125488,2.60827,101.519,8.14442,0.950993,2010.44,0.000711635,0.00949451,0.0454242,3.61867,0.24297,76,72.11647,10.55734,3.47823,6075.34,321962.0,26
577,00219765652-01,219765652,1,1,6140.0,4.31164,0.665889,0.000120175,5.9233,3.07293,0.0434778,1.14317,0.0157072,1.24794,866.722,51.346,3.12594,2010.29,0.00259814,1.56297,0.990105,8.17373,0.34442,38,39.18127,11.52906,3.60107,2414.95,8038.07,26
